CIUDAD	PAIS	2015	2016	2017	2018	2019
BARCELONA	ESPAÑA	46444832	46484062	46593236	46797754	47076781
BUENOS AIRES	ARGENTINA	43131966	43590368	44044811	44494502	44938712
AMSTERDAM	PAISES BAJOS	16939923	17030314	17131296	17231624	17332850
ESTOCOLMO	SUECIA	9799186	9923085	10057698	10175214	10285453
ATENAS	GRECIA	10820883	10775971	10754679	10732882	10716322
BURDEOS	FRANCIA	66548272	66724104	66864379	66965912	67059887
BOGOTA	COLOMBIA	47520667	48175048	48909844	49661056	50339443
BUDAPEST	HUNGRIA	9843028	9814023	9787966	9775564	9769949
CARACAS	VENEZUELA	30081829	29846179	29390409	28870195	28515829
CASABLANCA	MARRUECOS	34663603	35126296	35581294	36029138	36471769
CUENCA	ECUADOR	16212020	16491115	16785361	17084357	17373662
VILA DO CORVO	PORTUGAL	10196709	10196709	10196709	10196709	10196709
MOSCU	RUSIA	145934462	145934462	145934462	145934462	145934462
DUBAI	EMIRATOS ARABES UNIDOS	3400800	3400800	3400800	3400800	3400800
GRANADA	ESPAÑA	46444832	46484062	46593236	46797754	47076781
HAVANA	CUBA	11324781	11335109	11339259	11338138	11333483
IBIZA	ESPAÑA	46444832	46484062	46593236	46797754	47076781
HONOLULU	ESTADOS UNIDOS	320635163	322941311	324985539	326687501	328239523
HANEDA	JAPON	127141000	126994511	126785797	126529100	126264931
NUEVA YORK	ESTADOS UNIDOS	320635163	322941311	324985539	326687501	328239523
ESTAMBUL	TURQUIA	78529409	79821724	81101892	82319724	83429615
LONDRES	REINO UNIDO	67886011	67886011	67886011	67886011	67886011
LISBOA	PORTUGAL	10196709	10196709	10196709	10196709	10196709
MADRID	ESPAÑA	46444832	46484062	46593236	46797754	47076781
CIUDAD DE MEXICO	MEXICO	121858258	123333376	124777324	126190788	127575529
MUNICH	ALEMANIA	81686611	82348669	82657002	82905782	83132799
MILAN	ITALIA	60387724	60387724	60387724	60387724	60387724
OPORTO	PORTUGAL	10196709	10196709	10196709	10196709	10196709	
PAMPLONA	ESPAÑA	46444832	46484062	46593236	46797754	47076781
MURCIA	ESPAÑA	46444832	46484062	46593236	46797754	47076781
SEVILLA	ESPAÑA	46444832	46484062	46593236	46797754	47076781
TENERIFE	ESPAÑA	46444832	46484062	46593236	46797754	47076781
VIGO	ESPAÑA	46444832	46484062	46593236	46797754	47076781
VALLADOLID	ESPAÑA	46444832	46484062	46593236	46797754	47076781
ZARAGOZA	ESPAÑA	46444832	46484062	46593236	46797754	47076781
BILBAO	ESPAÑA	46444832	46484062	46593236	46797754	47076781
