CIUDAD,PAIS,DIA,TEMPERATURAS,PRECIPITACIONES,PRESION
OPORTO,PORTUGAL,2016-01-01,3,95,MUY BAJA
LISBOA,PORTUGAL,2016-01-01,11,52,MUY BAJA
VILA DO CORVO,PORTUGAL,2016-01-01,0,88,MUY BAJA
IBIZA,ESPAÑA,2016-01-01,8,65,MUY BAJA
MADRID,ESPAÑA,2016-01-01,8,87,MUY BAJA
PAMPLONA,ESPAÑA,2016-01-01,5,98,MUY BAJA
MURCIA,ESPAÑA,2016-01-01,14,50,MUY BAJA
SEVILLA,ESPAÑA,2016-01-01,13,54,MUY BAJA
TENERIFE,ESPAÑA,2016-01-01,4,93,MUY BAJA
TENERIFE,ESPAÑA,2016-01-01,7,84,MUY BAJA
VIGO,ESPAÑA,2016-01-01,8,79,MUY BAJA
VALLADOLID,ESPAÑA,2016-01-01,0,58,MUY BAJA
ZARAGOZA,ESPAÑA,2016-01-01,8,99,MUY BAJA
BILBAO,ESPAÑA,2016-01-01,0,93,MUY BAJA
BARCELONA,ESPAÑA,2016-01-01,3,65,MUY BAJA
GRANADA,ESPAÑA,2016-01-01,8,70,MUY BAJA
CASABLANCA,MARRUECOS,2016-01-01,8,64,MUY BAJA
OPORTO,PORTUGAL,2016-01-02,12,27,BAJA
LISBOA,PORTUGAL,2016-01-02,5,24,BAJA
VILA DO CORVO,PORTUGAL,2016-01-02,14,26,BAJA
IBIZA,ESPAÑA,2016-01-02,14,13,BAJA
MADRID,ESPAÑA,2016-01-02,2,33,BAJA
PAMPLONA,ESPAÑA,2016-01-02,4,16,BAJA
MURCIA,ESPAÑA,2016-01-02,9,25,BAJA
SEVILLA,ESPAÑA,2016-01-02,1,18,BAJA
TENERIFE,ESPAÑA,2016-01-02,11,31,BAJA
TENERIFE,ESPAÑA,2016-01-02,4,9,BAJA
VIGO,ESPAÑA,2016-01-02,14,36,BAJA
VALLADOLID,ESPAÑA,2016-01-02,3,38,BAJA
ZARAGOZA,ESPAÑA,2016-01-02,5,26,BAJA
BILBAO,ESPAÑA,2016-01-02,11,0,BAJA
BARCELONA,ESPAÑA,2016-01-02,6,5,BAJA
GRANADA,ESPAÑA,2016-01-02,13,32,BAJA
CASABLANCA,MARRUECOS,2016-01-02,12,2,BAJA
OPORTO,PORTUGAL,2016-01-03,9,27,BAJA
LISBOA,PORTUGAL,2016-01-03,3,32,BAJA
VILA DO CORVO,PORTUGAL,2016-01-03,14,3,BAJA
IBIZA,ESPAÑA,2016-01-03,3,24,BAJA
MADRID,ESPAÑA,2016-01-03,7,25,BAJA
PAMPLONA,ESPAÑA,2016-01-03,7,28,BAJA
MURCIA,ESPAÑA,2016-01-03,4,38,BAJA
SEVILLA,ESPAÑA,2016-01-03,8,6,BAJA
TENERIFE,ESPAÑA,2016-01-03,8,10,BAJA
TENERIFE,ESPAÑA,2016-01-03,9,0,BAJA
VIGO,ESPAÑA,2016-01-03,5,20,BAJA
